func,start,end,is_cold,container_id,provider.request_id,request_id
shuffle,1655122813.416729,1655122818.395921,True,0c251af8,4b7b6fda-a2ec-4184-aac7-342064d9eba4,44e1b130
reduce,1655122818.942623,1655122824.40782,True,6dc4b485,3df47683-1ddd-440d-b2da-1371abddc650,44e1b130
reduce,1655122818.956412,1655122824.474319,True,472055fa,71a22153-48c7-40bd-990e-573e483d32eb,44e1b130
split,1655122800.615911,1655122806.402315,True,bdcbc9f3,fae8ef70-8b94-42ed-9811-9d870dd384b3,44e1b130
map,1655122806.962439,1655122812.580365,True,d44d9f39,2dfefbcd-ab4e-467b-bb26-edd8a3e8f368,44e1b130
map,1655122807.315205,1655122813.036369,True,84ee461e,22eae60c-79bc-43c7-8576-cd0c100f1cd5,44e1b130
map,1655122806.977605,1655122811.612646,True,33f1ecb5,7852a062-4c1e-4127-bc06-ecb74aa09d55,b16833cb
map,1655122807.002569,1655122812.742842,True,8897cfbf,bb44e4c2-45fb-4eb6-91f0-a8d642af54ec,b16833cb
shuffle,1655122813.530897,1655122818.56328,True,af95ca81,6cc1ee15-242b-40ef-9724-7c0e8a622753,b16833cb
reduce,1655122819.298224,1655122824.823478,True,6eded971,cb08a255-ee73-4bbc-a969-5114375fd326,b16833cb
map,1655122807.028732,1655122813.098826,True,54f1c7ad,00407bc8-9ce7-4042-b9c4-c6dba0314f84,b16833cb
reduce,1655122819.317615,1655122824.720559,True,cb77a21f,2ecc9178-7ea5-4c35-a7e6-aa2bb6dd2a60,b16833cb
split,1655122800.898366,1655122806.470587,True,3ef7793c,53fe2946-444c-4fcf-b25f-f2c27df468a7,b16833cb
reduce,1655122819.294386,1655122824.87024,True,a031929a,97a4e905-2e21-43f0-9476-6b639296723b,b16833cb
reduce,1655122819.227006,1655122824.865689,True,fd93a431,37e3ad28-982d-4267-aeed-b6debcf2ea0a,b16833cb
reduce,1655122819.500807,1655122825.112183,True,52dd923a,1f080c9a-2211-49ca-9254-d4559a0a91da,b16833cb
reduce,1655122818.269676,1655122823.843319,True,0f148a27,ac50dcbc-79d4-40bd-958f-5bf25aad86e5,91dfdc97
map,1655122806.17908,1655122811.862384,True,e345fcf9,ee5ad3da-81dc-4c86-b28a-18cf6327883a,91dfdc97
map,1655122806.2185,1655122812.311274,True,9c23e561,481cfcf8-565c-4034-ab16-9909f9f01e45,91dfdc97
reduce,1655122818.289531,1655122824.048047,True,29cdadf9,48cd5d01-3e9c-4824-b271-7b4f1c194262,91dfdc97
reduce,1655122818.229259,1655122823.439562,True,9aba63f2,7f73fd0c-06c9-4e11-9eb6-836a6770b777,91dfdc97
split,1655122800.562021,1655122805.615705,True,f1ab2ba4,b9e7f91e-29bb-4a1c-a318-45b37f55c437,91dfdc97
shuffle,1655122812.696841,1655122817.582375,True,7b8b3160,1a62f5a3-bce5-4c55-ac12-6235041e2808,91dfdc97
reduce,1655122818.253354,1655122823.900218,True,31077762,c0172b09-cee3-4e70-a36a-43c5db89d383,91dfdc97
reduce,1655122818.244858,1655122823.638296,True,0280e0ad,52812447-000e-47a8-be26-dde112cee49c,91dfdc97
